ID,Nama Makanan,Kategori,Jumlah Sajian,Per Sajian,Energi,Energi dari lemak,Energi dari lemak jenuh,Karbohidrat total,Karbohidrat lain,Protein,Lemak total,Lemak jenuh,Lemak tidak jenuh ganda,Lemak tidak jenuh tunggal,Lemak trans,Kolesterol,Serat pangan,Serat pangan larut,Serat pangan tidak larut,Gula,Gula alkohol,Air,Abu,Vitamin A,B0Karoten,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B12,Folat,Biotin,Kolin,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Kalsium,Fosfor,Magnesium,Natrium,Kalium,Besi,Seng,Tembaga,Mangan,Iodium,Selenium,Fluor,Kromium,L0Karnitin,Myo0Inositol,Asam linoleat,Asam a0linolenat
725,Chocolate H1gh,Rejuve,1.0,porsi (250 ml),350.0,,,36.0,,24.0,12.0,3.5,,,,0.0,8.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,125.0,,,,,,,,,,,,,
726,Chocolate Hazelnut Oat Milk,Oatside,1.0,porsi (200 ml),180.0,,,27.0,,2.0,7.0,5.0,,,,2.0,,,,15.0,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,
727,Chocolate Hazelnut Spread,POD,1.0,porsi (15 g),80.0,,,7.0,,2.0,6.0,2.5,,,,0.0,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
728,Chocolate High Almond,Rejuve,1.0,porsi (250 ml),350.0,,,34.0,,23.0,14.0,3.0,,,,,10.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,130.0,,,,,,,,,,,,,
729,Chocolate Milkshake,Joyday,100.0,ml,80.0,,,11.0,,1.0,3.0,2.5,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,
730,Chocolate Mini Cream Puff,Beard Papa's,1.0,piece,67.0,,,7.2,,1.5,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,Chocolate Oat M*Lk,Oatside,1.0,porsi (200 ml),170.0,,,25.0,,3.0,6.0,1.0,,,,2.0,2.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,
732,Chocolate Oat Milk,Oatly,1.0,porsi (240 ml),150.0,,,24.0,,3.0,3.5,0.5,,,,,3.0,,,16.0,,,,,,,,,,,,,,,,,,,,,,150.0,4.0,,,,,,,,,,,,
733,Chocolate Original,WoCA,1.0,serving (20 g),110.0,,,12.0,,1.0,6.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,
734,Chocolate Overnight Oats,Acaii Tea,1.0,serving (200 g),170.0,,,23.0,,7.0,3.0,,,,,,10.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,Chocolate Peanut,Malino,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
736,Chocolate Peanut Butter Cookies,The Harvest,3.0,sajian (67 g),360.0,,,40.0,,5.0,20.0,11.0,,,,35.0,5.0,,,23.0,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,
737,Chocolate Peppermint,WoCA,1.0,takaran saji (30 g),170.0,,,17.0,,2.0,11.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,
738,Chocolate Pie,Nextar,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
